article;list_price;buying_price
165764650R;56.70;31.19
165765FF0B;118.04;64.92
165766PB0B;83.24;45.78
165766UB0A;83.24;45.78
165767143R;277.45;152.60
165767144R;113.57;62.46
165767385R;90.34;49.69
165767392R;83.25;45.79
165767706R;83.25;45.79
165767789R;277.45;152.60
165768877R;277.45;152.60
165769532R;83.24;45.78
165769686R;83.24;45.78
165780388R;83.24;45.78
165780924R;143.13;78.72
165781165R;83.24;45.78
165781377R;46.50;25.58
165781543R;84.69;46.58
165782504R;78.84;43.36
165783316R;83.24;45.78
165784295R;143.07;78.69
165786344R;148.06;81.43
165786383R;83.25;45.79
165788384R;23.99;13.19
1658090C0N;218.08;113.40
165878839R;83.24;45.78
165884BA1A;17.64;14.41
166E16388R;191.90;111.30
166E16796R;94.02;54.53
166G42622R;62.77;51.28
166011016R;191.90;111.30
166017960R;94.02;54.53
167A01613R;128.82;74.72
169101233R;829.66;497.80
169101338R;658.45;395.07
169101415R;829.66;497.80
169101422R;1316.91;790.15
169102698R;274.21;164.53
169103752R;829.66;497.80
169103801R;829.66;497.80
169106730R;658.45;395.07
169107681R;829.66;497.80
169107766R;829.66;497.80
169107893R;320.81;192.49
169107905R;592.60;355.56
169108138R;1250.70;750.42
169108768R;592.61;355.57
169109765R;572.57;343.54
169190397R;42.90;15.44
169191812R;32.89;11.84
169193708R;75.91;27.33
169193880R;29.70;10.69
169194462R;32.89;11.84
169196566R;32.89;11.84
169198413R;32.89;11.84
169199697R;35.19;12.67
169323431R;73.00;59.64
169326755R;126.60;103.43
17001EZ30A;715.70;429.42
172C62327R;8.99;6.96
172020537R;114.04;93.17
172021312R;44.29;36.18
173203798R;901.79;541.07
173206863R;1001.99;601.19
173411440R;20.53;16.77
173418465R;10.40;8.50
174061863R;39.38;32.17
174270654R;32.40;26.47
174271990R;44.11;36.04
174287794R;12.45;10.17
175187556R;48.82;39.89
175285313R;39.38;32.17
179A55448R;19.56;15.98
179041711R;475.27;275.66
179045962R;319.09;185.07
179048302R;409.60;237.57
179048681R;120.87;70.10
179845562R;48.82;39.89
180274091R;59.94;48.97
204161701R;29.33;23.96
204174KJ0A;136.08;111.18
204175XA0A;281.98;230.38
204287050R;73.19;59.80
204724462R;29.43;24.04
204728272R;24.20;19.77
204735677R;51.77;42.30
207237261R;40.87;33.39
208F93492R;63.41;51.81
208S64795R;29.33;23.96
208S69870R;18.29;14.94
208150004R;405.76;211.00
208150007R;335.86;174.65
208150014R;184.42;95.90
208150018R;414.69;215.64
208150149R;160.09;83.25
208151628R;319.88;166.34
208152425R;168.88;87.82
208153295R;203.73;105.94
208153481R;118.62;61.68
208153515R;207.78;108.05
208154268R;172.56;89.73
208154275R;201.33;104.69
208154890R;257.73;134.02
208155568R;174.65;90.82
208155642R;357.33;185.81
208156551R;245.58;127.70
208157209R;167.98;87.35
208157652R;165.52;86.07
208158007R;357.33;185.81
208158204R;249.45;129.71
208158286R;256.70;133.48
208158341R;245.08;127.44
208159870R;245.08;127.44
20817JG60A;162.61;132.85
20817JG62A;47.10;38.48
208171459R;18.29;14.94
208171754R;17.21;14.06
208175401R;12.53;10.24
208175811R;9.10;7.43
208176373R;18.29;14.94
208180633R;10.05;8.21
208180944R;73.43;59.99
208182925R;47.23;38.59
208184201R;68.81;56.22
208185586R;32.89;26.87
208186196R;30.79;25.16
208190563R;5.99;4.89
208191039R;7.51;6.14
208191460R;7.52;6.14
208191560R;6.49;5.30
208196144R;7.52;6.14
208198222R;4.07;3.33
208199182R;8.50;6.94
