article;list_price;buying_price;buying_price_self;discount;discount_self;description;weight;DLNR
625000232R;420.44;218.21;171.96;48.1;59.1;FRONTMASKE   YT42;16850;7455
625000427R;400.23;207.72;163.69;48.1;59.1;FUEHRUNG     GA42;9640;7455
625001299R;436.61;226.60;178.57;48.1;59.1;FRONTMASKE   YM42;9000;7455
625001592R;400.23;207.72;163.69;48.1;59.1;FRONTMASKE   GA42;12500;7455
625001692R;498.06;258.49;203.71;48.1;59.1;TRAEGER      7E42;7500;7455
625001980R;496.32;257.59;202.99;48.1;59.1;GITTER       4A41;3700;7455
625002388R;494.83;256.82;202.39;48.1;59.1;FRONTTEIL    4A42;6000;7455
625002445R;323.03;167.65;132.12;48.1;59.1;QUERTRAEGER  2A42;2980;7455
625002766R;434.27;225.39;177.62;48.1;59.1;FRONTTEIL    JN42;8000;7455
625003456R;507.28;263.28;207.48;48.1;59.1;FRONTBLECH   RN42;7160;7455
625003825R;440.25;228.49;180.06;48.1;59.1;KUEHLERRAHMEN7A42;4720;7455
625003860R;323.03;167.65;132.12;48.1;59.1;FUEHRUNG     2A42;2275;7455
625004311R;432.98;224.72;177.09;48.1;59.1;FRONTMASKE   JK42;8000;7455
625004819R;498.06;258.49;203.71;48.1;59.1;TRAEGER      7E42;5700;7455
625005090R;496.32;257.59;202.99;48.1;59.1;FRONTMASKE   7A42;5920;7455
625005279R;582.56;302.35;238.27;48.1;59.1;KUEHLERZARGE XU29;15000;7455
625005741R;441.57;229.17;180.60;48.1;59.1;TRAEGER      4A42;5320;7455
625005785R;464.70;241.18;190.06;48.1;59.1;KUEHLERZARGE 7U42;4650;7455
625005786R;326.66;169.54;133.60;48.1;59.1;TRAVERSE     4A42;3500;7455
625005789R;306.85;159.26;125.50;48.1;59.1;RAHMEN       1E42;2430;7455
625005939R;292.77;151.95;119.74;48.1;59.1;RAHMEN       EE42;10000;7455
625006235R;306.85;159.26;125.50;48.1;59.1;RAHMEN       1E42;2532;7455
625006416R;436.61;226.60;178.57;48.1;59.1;BEFESTIGUNG  YM42;6520;7455
625006891R;466.93;242.34;190.97;48.1;59.1;ANSCHLUSS    7A13;1150;7455
625006894R;420.44;218.21;171.96;48.1;59.1;FRONTTRAEGER YT42;7695;7455
625007413R;441.57;229.17;180.60;48.1;59.1;FRONTTEIL    7A42;5190;7455
625007444R;546.99;283.89;223.72;48.1;59.1;RAHMEN       5K42;2630;7455
625008479R;530.59;275.38;217.01;48.1;59.1;FRONTMASKE   7C42;4150;7455
625008521R;348.85;181.05;142.68;48.1;59.1;KUEHLERZARGE EA56;12500;7455
625008990R;434.27;225.39;177.62;48.1;59.1;VORBAU       JK42;5630;7455
625009085R;507.28;263.28;207.48;48.1;59.1;FRONTBLECH   RN42;7120;7455
625009677R;440.65;228.70;180.23;48.1;59.1;KUEHLERRAHMENCN42;8340;7455
625009824R;440.65;228.70;180.23;48.1;59.1;RAHMEN       CN42;9087;7455
625043422R;396.77;205.92;162.28;48.1;59.1;BLECH        DN42;3980;7455
625044050R;307.25;159.46;125.67;48.1;59.1;FRONTBLECH   DQ42;4485;7455
625044173R;281.78;146.24;115.25;48.1;59.1;FRONTBLECH   DH42;4707;7455
625044317R;417.24;216.55;170.65;48.1;59.1;QUERTRAEGER  JV42;4050;7455
625048921R;307.25;159.46;125.67;48.1;59.1;TRAVERSE     DN42;4970;7455
625049385R;291.06;151.06;119.04;48.1;59.1;FRONTBLECH   BW42;6300;7455
625049610R;309.28;160.52;126.50;48.1;59.1;TRAEGER      DU42;6255;7455
625111845R;42.63;34.83;30.74;18.3;27.9;BLECH        DQ42;575;7455
625113503R;68.72;35.67;28.11;48.1;59.1;TRAVERSE     QN42;2280;7455
625115158R;90.23;46.83;36.90;48.1;59.1;TRAVERSE     QN42;1000;7455
625118213R;856.71;444.63;350.39;48.1;59.1;SCHLOSSTRAEG.RA42;8600;7455
625120368R;38.61;31.54;27.84;18.3;27.9;HALTER       QQ41;400;7455
625121456R;33.69;27.52;24.29;18.3;27.9;HALTER       5A42;248;7455
625122265R;18.29;14.94;13.19;18.3;27.9;HALTER       DO46;830;7455
625123232R;28.38;23.19;20.46;18.3;27.9;HALTER       RN42;190;7455
625124352R;18.29;14.94;13.19;18.3;27.9;HALTER       DO46;890;7455
